																		T	Q number		Examiner			Year	Description	
Matyska			0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		6S		Dohnal			2016	Pan Dohnal mi dal distribuovane systemy vs centralizovane. Vydatne navadzal a dost specifikoval co vlastne pozaduje. Bohuzial som tuto temu jaksi "neovladal", takze som pri niektorych otazkach tapal (zjednodusene -> ako sa riesi rozdelenie prace). Bol vsak velmi prijemny. Nasledne mi dal petriho siete ako podotazku a tu som uz nejak laicky podal. Celkovo sa to dalo obkecat bez definicii a vyzeralo to, ze to akceptuje. Posobil neuveritelne pohodovo. Tiez naozaj pocuval co vravim pocas prezentacie a aj listoval zadanim. Mal k nemu dokonca aj otazky. To ma uprimne prekvapilo a zaroven aj potesilo.	Mr. Dohnal gave me distributed systems vs centralized. He followed up profusely and was quite specific about what he actually wanted. Unfortunately, I didn't "master" this topic somehow, so I struggled with some questions (simplified -> how to solve the division of work). However, he was very nice. Next, he gave me a petri net as a sub-question, and I submitted it in a layman's way. All in all, it could be talked about without definition and it seemed that he accepted it. He acted incredibly comfortably. He also really listened to what I was saying during the presentation and flipped through the assignments. He even had questions for him. That honestly surprised me and pleased me at the same time.
Bühnová			2	0	2	2	7	0	0	0	5	0	2	1	2	0	0		6S		Dohnal			2016	Siete - vseobecne, zacal som sam ze co to je, co chcem aby mi zabezpecili a podobne, potom ma naviedol ze mu mam popisat vrstvy OSI, bola to taka prijemna konverzacia, nechal ma nieco povedat, ked ho zaujimalo viac tak sa opytal na nejaky detail, ked som nevedel tak ma naviedol, v podstate zakladne veci, vsetko iba z materialov alebo logicky dedukovatelne... trosku viac sme sa pristavili na smerovani a uz bol koniec...	Networks - in general, I started by myself with what it is, what I want them to secure for me and the like, then he instructed me to describe the OSI layers to him, it was such a pleasant conversation, he let me say something, when he was interested in more, he asked about some detail, when I didn't know, he guided me, basically basic things, everything only from materials or logically deducible... we got a little closer to routing and it was over...
Bartek			0	0	1	0	1	1	1	4	0	0	0	0	0	0	0		8S		Dohnal			2016	autentizace, autorizace, acl, pak se ptal ještě na ukládání hesel přes co sme došli k hashování (ptal se na vlastnosti), zabrousili jsme i do solení hesel	authentication, authorization, ACL, then he asked about storing passwords, which led us to hashing (he asked about properties), we also delved into salting passwords
Šimková			0	0	0	0	0	0	0	0	1	0	0	1	3	3	1		6S		Novák			2016	ISO OSI, popis vrstev, popis IP protokolu, TCP, UDP, jak funguje router.	ISO OSI, description of layers, description of IP protocol, TCP, UDP, how a router works.
Matyáš			0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		6S		Novák			2016	ISO/OSI model som nakreslil. pýtal sa na putovanie správ po vrstvách. Hovoril som na príklad SMTP. IP účel, IPv4 v6 adresy, rozdelenie IPv4 adresy na sieťovú časť a časť označujúcu zariadenie, ako adresy vyzerajú. TCP protokol, účely, ciele, rozdiel medzi TCP/UDP - tu som pustil prvý fail. Najprv som povedal niekoľko rozdielov, ale predseda Matyska (hovoril som, že sa pýta aj predseda| chcel počuť jeden zásadný - congestion control - ktorý mi nejak nešiel na jazyk, ale pritom to viem. Deň predtým som čítal rozdiely medzi IPsec a TCP, ktorý ma úplne pomiatol, takže som zapotil, že TCP sa šifruje pomocou SSL a šiel som dodať, že UDP by šlo riešiť cez IPsec, ale k tomu som sa nedostal, lebo keď som vypustil SSL, tak to okomentovali že "som práve pokazil celý dojem, který sem doted delal" :D :D ufff. Ale tak hneď ako sa Matyska teda pýtal na ten rozdiel, tak mi došlo tým, ako sa pýtal na congestion, ktorý som vysvetlil. Ešte pár detailov k sietiam.	I drew the ISO/OSI model. he asked about messages traveling through the layers. I was talking about the example of SMTP. IP purpose, IPv4 v6 addresses, division of an IPv4 address into a network part and a device part, what addresses look like. TCP protocol, purposes, goals, difference between TCP/UDP - here I played the first file. At first I said a few differences, but Chairman Matyska (I said that the chairman is also asking | he wanted to hear one fundamental one - congestion control - which somehow didn't fit my language, but I know it. The day before I read the differences between IPsec and TCP, which completely confused me, so I sweated that TCP is encrypted using SSL and I was going to add that UDP could be solved via IPsec, but I didn't get to that, because when I dropped SSL, they commented that "I just messed up the whole impression I was making until now". But as soon as Matyska asked about the difference, it occurred to me that he asked about congestion, which I explained. A few more details about the networks.
Přenosil			0	0	0		0	0	0	0	0	0	0	0	0	0	0		8S		Novák			2016	Pytal sa na krypto, co je digitalny podpis, z neho sme presli na certifikaty a PKI. Chcel odomna pocut, ze pri certifikatoch je podstatna nie len CA, ale takisto, ci je certifikat platny, co mi najprv nenapadlo, ale postupne sme sa k tomu otazkami v pohode dostali. Nic viac nechcel a bol spokojny.	He asked about crypto, what is a digital signature, from that we moved on to certificates and PKI. He wanted to hear from me that it is not only the CA that is important for certificates, but also whether the certificate is valid, which I didn't think of at first, but we gradually got to it with questions. He wanted nothing more and was satisfied.
Švenda			0	1	0	0	0	1	0	5	0	0	0	0	0	0	0		8S		Novák			2016	kryptografie, digitální podpis, jak funguje digitální podepsání a ověření, CA	cryptography, digital signature, how digital signing and verification work, CA
Novák			0	0	0	0	0	2	0	3	0	0	0	0	0	0	0		8S		Novák			2016	Pri skúšaní mi najprv Novák povedal, že ostaneme pri téme mojej diplomky a dostal som 14 - digitálny podpis, certifikáty a PKI.	During the exam, Novák first told me that we would stick to the topic of my diploma and I received 14 - digital signature, certificates and PKI.
Summary			27	10	17	11	13	16	10	29	11	0	10	17	9	5	4		3M		Ošlejšek			2016	ITIL (5 stages, SOA, Web service, a bit detail)	ITIL (5 stages, SOA, Web service, and bit detail)
																			6S		Ošlejšek			2016	Zacal otazkou jak probiha smerovani v sitich a na jake vrstve se nachazi. Pote po me chtel do detailu vysvetlit jak funguje Distance Vector a jak Link State plus priklad, nasledne nato presel k IP, co vse je potreba na PC zadat krome IP adresy aby se spravne nacetla sit? Spravna odpoved Gateway a maska podsite, rozebrat co k cemu slouzi, ukazat na prikladech. Dale rozebrat k cemu slouzi NAT a jak funguje. Jak se resi nedostatek IP adres v protokolu IPv4?	He started with a question about how routing works in networks and what layer it is on. Then he wanted me to explain in detail how Distance Vector works and how Link State works plus an example, then he moved on to IP, what else do you need to enter on your PC besides the IP address to correctly read the network? The correct answer is Gateway and subnet mask, analyze what they are for, show with examples. Next, analyze what NAT is for and how it works. How is the lack of IP addresses in the IPv4 protocol solved?
	Didn't examine																		6S		Ošlejšek			2016	OSI model - ten jsem dal vpoho. Pote se ale zacal detailne ptat na L1 a L2 vrstvu. Chtel vedet protokoly z obou vrstev, pote jak funguje CSMA/CA, CSMA/CD, Aloha, Token Ring.. Tohle jsem do detailu vubec neznal, takze jsem dost varil z vody a moc jsem nevedel...	OSI model - I gave it a try. But then he started asking in detail about the L1 and L2 layers. He wanted to know the protocols from both layers, then how CSMA/CA, CSMA/CD, Aloha, Token Ring work.. I didn't know this in detail at all, so I was pretty confused and didn't know much...
	Examined																		8S		Ošlejšek			2016	vcelku vpoho ptala se na ekonomicke paradigmata (orientace na produkty/sluzby)... Rozebirali jsme nejake veci z praxe. Spise takova diskuse/polemika nad vecmi nez zkouseni z temat otazky - je hodna.	She asked quite nicely about economic paradigms (product/service orientation)... We discussed some practical things. It's more like a discussion/polemic about things than an examination of the topic of the question - it's good.
	Interests in topic																		1M		Ráček			2016	pytal sa na PPP, coho je to skratka a ich definicia a potom na project planning a jeho jednotlive casti.	he asked about PPP, what is the abbreviation and their definition, and then about project planning and its individual parts.
																 			1M		Ráček			2016	PPP, co se týče standardů. Srovnání IPMA, PMI, PRINCE2. Rozdíly program, portfolio, proces, projekt. Celkem za C.	PPP, in terms of standards. Comparison of IPMA, PMI, PRINCE2. Differences program, portfolio, process, project. Total for C.
																			1M		Ráček			2016	PPP, čo to je, expozícia rizík, analýza rizík. Tam sa pýtal na nejaký postup analýzy rizík pomocou akéhosi stromu. To myslím v materiáloch nemáme a nespomenul som si, čo by tým mohol myslieť, teda som trochu očil oči, že fuu a tak teda prešiel na sieťové diagramy, ganntov diagram, milestones,  AOA / AON, výhody nevýhody. Zaujímavá informácia, že AOA má výhodu, že sa v ňom dobre zobrazuje milestone práve v tých Node-och, povedal Ráček	PPP, what is it, risk exposure, risk analysis. There he asked about some sort of tree-based risk analysis procedure. I mean, we don't have that in the materials and I didn't remember what the team might think, so I opened my eyes a little, and then I went to network diagrams, Gannt diagram, milestones, AOA / AON, advantages and disadvantages. Interesting information that AOA has the advantage that it displays milestones well in those Nodes, said Ráček
New programmes (RSSS - Services, cca since 2022)																			1S		Ráček			2016	servisní systémy, vztahy Client, Provider, Target, všechno nakreslit. Typy servisních systémů a hlavně příklady něco jiného, než Interim Project. :-D trochu jsem se na tom zasekla. Ale dali mi A.	service systems, Client, Provider, Target relationships, draw everything. Types of service systems and especially examples of something other than Interim Project. :-D I got a little stuck on it. But they gave me an A.
			PA017	PA018PV079PV157	MV013	PA152	PA182PV215PV237PV271	PA179	PV203PV214	PV206	PA194	PA116	PA181	PV207	PA151PA159PA191	PV241PV118PV028PV045PV242	PV240PV216		8S		Švenda			2016	Alanýza rizik. Aha, řekl jsem si. Nevím jak ostatním, ale mě se to kompletně vykouřilo z hlavy. Začal jsem ale dobře, kde jsem mu popsal Aktiva, Zranitelná místa a prokousával se dál a dál. Chtěl vědět, jak to chápu. Proto se ze mě snažil dostávat i praktické příklady. Ve smyslu, pokud byl bych manažer divadla, jaká jsou pro mě akriva, a jak se je budu snažit ochránit. V koncextu objednávek, jsem řekl že aktivem může být údaj o počtu rezervací, a hrozba, že nám třeba někdo tato číal bude libovolně měnit. Nebylo to to co asi původně chtěl ale pak i s tímto souhlasil. Bavili jsme se i o expozici rizik a o ohodnocení. Jak bych například řešil nízké pravděpodobností riziko ale v velkoufinanční ztrátou. Tady jsem věděl. Pojištění. Pokynul hlavou. Motali jsme se ještě nějakou chvíli v oblasti analýza rizik a potom skončili.	Risk analysis. Ah, I thought to myself. I don't know how others do, but it completely blew my mind. I started well, where I described Assets, Vulnerable Areas and he went on and on. He wanted to know how I understood it. That's why he tried to get practical examples from me. In the sense that if I were a theater manager, what are the assets for me, and how will I try to protect them. In the context of orders, I said that an asset could be information about the number of reservations, and the threat that someone might change these numbers arbitrarily. It probably wasn't what he originally wanted, but then he agreed to this. We also talked about risk exposure and evaluation. How would I, for example, deal with a low probability risk but with a large financial loss. That's where I knew. Insurance. He nodded. We hung around in the area of ​​risk analysis for a while longer and then we ended.
Examiner			1C	2C	3C	4C	5C	6C	7C	8C	1SL	2SL	3SL	4SL	5SL	6SL	7SL		8S		Švenda			2016	Digitální podpis, jak funguje, bezpečnost, proč využíváme symetrické šifrování. Rychlost je tam důležitá, ale to není jediné. Pak jsme přešli k zabezpečení dat na disku, v cloudu a tak obecně. Snažil se ptát kolikrát tak základně, až mě to zmátlo a nevěděl jsem vlastně, co chce slyšet :) Jeho část zabrala větší část zkoušení.	Digital signature, how it works, security, why we use symmetric encryption. Speed ​​is important there, but that's not the only thing. Then we moved on to data security on disk, in the cloud, and so on in general. He tried to ask so many basic questions that I got confused and didn't really know what he wanted to hear :) His part took up most of the rehearsal.
Ročkai						2													8S		Švenda			2016	analyza rizik. Tam som spomenul zakladne pojmy ako hrozba, zranitelne miesta, aktiva, hodnoty, co je riziko. Ze existuje kvalitativna a kvantitativna analyza. Kto ju vykonava, nieco o bezpecnostnej politike. Spominal som o adresovani rizik co s nimi robit ake existuju strategie. Potom sa ma pytal tiez na male a velke firmy, ako casto sa vykonava atd.	risk analysis. There I mentioned basic terms such as threat, vulnerabilities, assets, values, what is risk. There is qualitative and quantitative analysis. Who executes it, something about the security policy. I mentioned addressing risks, what to do with them, and what strategies exist. Then he also asked me about small and large companies, how often it is done, etc.
Bártek															2				8S		Švenda			2016	auntentizácia - teória a využitie v praxi, graf pretnutia false acceptance a false rejection, vyjadrenie acceptance v % v praxi, živosť	authentication - theory and use in practice, graph of false acceptance and false rejection, expression of acceptance in % in practice, liveness
Batko						1													1S		Walletzký			2016	Service Paradigms - Chcel vediet tie 4 zakladne, ale ked som mu odpovedal na prvu (Service is the fundamental basis of exchange), tak povedal, ze unho je to za A, lebo som prvy clovek, co mu na to vedel odpovedat.	Service Paradigms - He wanted to know the 4 basics, but when I answered the first one (Service is the fundamental basis of exchange), he said that it was because of A, because I was the first person who knew how to answer it.
Spurný			1											1					1S		Walletzký			2016	Walletzky: Service system, mention-use principle. I was lost a bit in describing relationship from the point of mention-use principle among customer-provider-traget.	Walletzky: Service system, mention-use principle. I was lost a bit in describing the relationship from the point of mention-use principle among customer-provider-traget.
Walletzký																			1S		Walletzký			2016	Service Paradigms (chcel pocut tie 4 - Service is the fundamental basis of exchange, The customer is always a co-creator of the value, All social and economics actors are the resource integrators, Value is always uniquely and phenomenologically determined by the beneficiary)	Service Paradigms (he wanted to hear tie 4 - Service is the fundamental basis of exchange, The customer is always a co-creator of the value, All social and economics actors are the resource integrators, Value is always uniquely and phenomenologically determined by the beneficiary)
Rebok															1				1S		Walletzký			2016	Co je servisní systém, trojúhelník CPT. Zajímaly ho podrobně vztahy mention a use, jak se liší mention mezi C-P a P-T, proč mezi C-T není mention, příklady, detaily, víc nic...	What is a service system, the CPT triangle. He was interested in the details of the mention and use relationships, how mention differs between C-P and P-T, why there is no mention between C-T, examples, details, nothing more...
Řehák						1													1S		Walletzký			2016	Moc času už nezbylo a tak se mě zeptal na klasický trojúhelník CPT, jaké tam jsou vztahy. Dále pak na rozdíly mezi GDL a SDL s vysvětlením a uvedením příkladu na notebooku.	There wasn't much time left, so he asked me about the classic CPT triangle, what relationships there are, and then about the differences between GDL and SDL, explaining and giving an example on a laptop.
																			1S		Walletzký			2016	servisné systémy, CPT, duálny systém, spolupracujúci systém, mention a use - zakresliť a na všetko príklady	service systems, CPT, dual system, cooperative system, mention a use - draw examples on everything
																			1S		Walletzký			2016	2. otázka smerovala na servisný systém, popísať prvky, konkrétne príklady, špeciálne systémy (duálny, kooperujúci). Či môže byť servisný systém súčasťou iného systému. Čo môže byť provider, client, target (človek, technológia ...). Popísať vzťahy MENTION/USE a fungovanie servisného systému.	The 2nd question was directed to the service system, describe the elements, specific examples, special systems (dual, cooperative). Whether the service system can be part of another system. What can be provider, client, target (person, technology...). Describe the MENTION/USE relationships and the functioning of the service system.
																			1S		Walletzký			2016	Nejdriv se ptal Walletzky na servisni system, musela jsem nakreslit vztah dodavatele, klienta a cile, kde je tam mention a use a co to presne znamena... obcas se mu nelibila presne moje formulace, ale plus minus jsem to popsala, akorat chtel ode me slyset presne, ze mention mezi poskytovatelem a cilem znamena, ze si poskytovatel naplanuje, co bude delat, coz jsem nevedela.	First, Walletzky asked about the service system, I had to draw the relationship between the supplier, client and target, where the mention and use are and what exactly they mean... sometimes he didn't like my exact wording, but I described it in detail, just as he wanted to hear from me exactly that the mention between the provider and the target means that the provider plans what it will do, which I didn't know.
																			1S		Walletzký			2016	Pan Walletzký: produktové a servisní paradigma, value proposition. Trošku jsem se v tom zamotal a trvalo mi, než jsem řekl, co chtěl slyšet... :D	Mr. Walletzký: product and service paradigm, value proposition. I got a little confused and it took me a while to say what he wanted to hear... :D
																			4M		Walletzký			2016	Následoval Walletzký a MbC. Mapování pyramidy vitality na pyramidu kultury. A přísahám, že to umím na zpamět, ale tam mi to vypadlo kompletně z hlavy. Zachránila mě moje mnemotechnická pomůcka ISHeMOD :D Pak jsme to nějak dali dohromady. Lezlo to ale ze mě jako z chlupaté deky. Následně jsme pyramidy použili do prostředí divadla.	Walletzký and MbC followed. Mapping the pyramid of vitality to the pyramid of culture. And I swear I can remember it by heart, but it completely slipped my mind. My mnemonic ISHeMOD saved me :D Then we somehow put it together. But it was crawling out of me like a furry blanket. Then we used the pyramids in the theater environment.
																			4M		Walletzký			2016	teoria vitality a kde sa uplatnuje. Zacal som hovort o MbC...pri odpovedi, ze nase terajsie dosahovanie cielov by nemalo ovplyvnit dosahovanie cielov v buducnosti sa ma spytal na konkretny priklad...tak som zacal hovorit o tom ze na SVK je vysoka korupcia :D vtedy sa vsetci zacali smiat...tak som spomenul priklad ze ak teraz niekoho podplatime tak v buducnosti nam to moze pokazit meno (a nieco okolo toho) :D walletzky povedal, ze nad tym nikdy neuvazoval takto :D a ze to mozno v buducnosti prepoji teoriu vitality s korupciou :D potom som zacal hovorit jednotlive stupne pyramidy vitality...ku kazdej chcel vediet co sa tam robi a priklady z reality...a vzdy sa ma pytal na male a velke firmy a ze ci to ide uplatnit vsade a preco a stale sa pytal aj na zamestnancov atď. Dost vela detailov chcel vediet	the theory of vitality and where it is applied. I started talking about MbC... when I answered that our current achievement of goals should not affect the achievement of goals in the future, he asked me for a specific example... so I started talking about the high level of corruption at SVK :D then everyone started laughing... so I mentioned the example that if we bribe someone now, it can spoil our name (and something related to it) in the future :D walletzky said that he would never think about it he didn't think like that :D and that maybe in the future I will connect the theory of vitality with corruption :D then I started talking about the individual levels of the pyramid of vitality...everyone wanted to know what was done there and examples from reality...and he always asked me about small and large companies and whether it was going to be applied everywhere and why and he kept asking about employees, etc. He wanted to know quite a lot of details
																			4M		Walletzký			2016	2. otázka byla na teorii vitality, nástroje teorie vitality, teorie omezení a provázání teorie vitality s teorií omezení.	The 2nd question was on vitality theory, tools of vitality theory, theory of constraints, and the connection between vitality theory and theory of constraints.
																			4M		Walletzký			2016	podobe pyramidy vitality a pyramidy kultury. Tu nastal ale dalsi porod. Cely nateseny som totiz zacal rapotat to previazazanie a hned ma zastavil. Vravel som to totiz zle. Problem bol, ze som to mal naucene z tych materialov SZZ SSME 2015-2016. Do buducna, Stability sa nemapuje na "definiciu, orientaciu a motivaciu". Tu som to teda dost pokazil. Docela ma prekvapuje, ze ma za toto fakt nevyrazil.	forms of the pyramid of vitality and the pyramid of culture. But another birth occurred here. All excited, I started to rumble about the over-binding and he immediately stopped me. I said it wrong. The problem was that I had learned it from the SZZ SSME 2015-2016 materials. In the future, Stability does not map to "definition, orientation and motivation". So I messed up a lot here. I'm quite surprised that he didn't kick me out for this.
																			4M		Walletzký			2016	Strategicke riadenie podla MbC - prisiel mi o nieco strohejsi, obcas ked som trepol tak sa zatvaril ze ho to az zabolelo :D lebo som obcas trosku viac tapal nez u predoslej otazky, povedal som iba par slov ku kazdej casti strategickeho ramca, chcel toho viac a doloval zo mna... nieco som logicky odvodil a nieco som ani nevedel ale nic az take vazne sa nedialo... presli sme na strategicke kontinuum, opat chcel trochu viac podrobnosti nez som si ja pamatal, ale asi nic co nie je v materialoch...	Strategic management according to MbC - he seemed a bit stricter, sometimes when I trembled he pretended that it hurt him :D because sometimes I fumbled a bit more than with the previous question, I only said a few words about each part of the strategic framework, he wanted more and mined me... I deduced something logically and I didn't even know anything but nothing really important happened... we moved on to the strategic continuum, again he wanted a little more details than I remembered, but probably nothing that is not in the materials...
																			7S		Batko			2017	Databaze - zaklad - ako to vyzera (tabulky, atributy, zaznamy), kluce (kandidatny, superkluc, primarny) plus relacna algebra (kartezsky sucin, selekcia, projekcia). Ja som tam este kreslil ERD.	Database - foundation - what it looks like (tables, attributes, records), keys (candidate, superkey, primary) plus relational algebra (Cartesian sum, selection, projection). I drew the ERD there.
																			1M		Bühnová			2017	Project management - WBS, GANT, sitovy diagramy, PERT, CPM, rizika (treba ubytek zdroju - lidi, fyzicke zdroje,...). U gantovyho modelu nemusi vsechny aktivity navazovat prave kvuli rizeni rizik, protoze pocitam, ze aktivita, ktera nenavazuje, tak nezacne v presne danej kvuli tomu, ze predchozi aktivita ma nejasny konec (muze se zpozdit a pak by zdroje dalsi aktivity zbytecne cekali - neco v tom smyslu).	Project management - WBS, GANT, network diagrams, PERT, CPM, risks (e.g. loss of resources - people, physical resources,...). In the Gantt model, not all activities have to be connected precisely because of risk management, because I feel that an activity that does not connect will not start at the exact time because the previous activity has an unclear end (it may be delayed and then the resources of the next activity would wait unnecessarily - something to that effect).
New programmes (RSSS - Cybersecurity management, cca since 2022), see above for questions from common core 																			1S		Bühnová			2017	Service Systems, vztahy provider - client, obecně product dominant logic vs. service dominant logic. Tady to bylo víc v pohodě. Nechala mě obecně mluvit, když jsem šel s něčím víc do hloubky, tak z vlastní vůle. Na začátku chtěla říct, co tvoří servisní systémy, pak jsem nakreslil trojúhelník provider - client - target a mluvil o mention / use.	Service Systems, provider - client relationships, generally product dominant logic vs. service dominant logic. It was more relaxed here. She let me talk in general, when I went into more depth with something, of my own free will. At the beginning she wanted to say what service systems are, then I drew the triangle provider - client - target and talked about mention / use.
											IV054PV079	PV079	PV079	PV204PV079PA197	PA151PA159PA191	PrF:BVV03K, BVV14K, BI301K			3M		Bühnová			2017	ITIL a vztiahnut to na firmu z Interimu. Chcela pocut aj to, kto je v tej firme za jednotlive casti zodpovedny.	ITIL and relate it to the company from Interim. She also wanted to hear who is responsible for individual parts in that company.
								Examiner			1CB	2CB	3CB	4CB	5CB	6CB			3M		Bühnová			2017		#VALUE!
																			5M		Bühnová			2017	na závěr marketingový mix (porovnání 4P a odpovídajících C ze 7C).	finally, the marketing mix (comparison of the 4Ps and the corresponding Cs of the 7Cs).
															0				5S		Bühnová			2017	Bez problémů, pokud se člověk alespoň trochu orientuje. Nechtěla moc detailů, spíše obecný přehled.	No problem, as long as you have some basic knowledge. She didn't want too many details, just a general overview.
																			5S		Dohnal			2017	Distribuovane systemy. Presli sme v podstate vsetko z tejto temy a potom sa zameral na skalovatelnost na vysoku dostupnost, pricom to chcel vsetko nad databazami.  Jo a este to potom Dohnal prepojil na RAID a k tomu chcel hlavne principy a vyuzitie, kedy pouzijem mirroring a kedy stripping...	Distributed systems. We covered basically everything from this topic and then he focused on scalability and high availability, and he wanted it all over databases.  Oh, and then Dohnal connected it to RAID and for that he mainly wanted the principles and usage of when to use mirroring and when to strip...
																			8S		Dohnal			2017	otázky vztahoval k diplomce, ptal se na autentizaci a autorizaci (tj jak se tohle bude chovat vzhledem k systému, co jsem navrhovala), rozdíl, jak chránit heslo, jak heslo ukládat, jaké jsou způsoby autentizace, autorizace, proč, zakončil sql injection	He related the questions to the diploma thesis, asked about authentication and authorization (i.e. how this will behave in relation to the system I proposed), the difference, how to protect the password, how to store the password, what are the methods of authentication, authorization, why, he ended with sql injection
																			7S		Matyska			2017	relační databáze	relational database
																			3S		Ošlejšek			2017	Use case diagram, obecne a vsechno kolem, actory, typy vazeb... jak diagramovy tak textovy, docela me zarazil na extendu, poradne nastudovat radsi co to znamena, za jakych pripadech se pouziva, nestaci odpoved ze rozsiruje fukcnost jejiz pouziti je na uvazeni uzivatele.	Use case diagrams, in general and everything around them, actors, types of relationships... both diagrammatic and textual, really caught me off guard on the extend, I would advise you to study what it means, in what cases it is used, the answer that it extends functionality is not enough, its use is up to the user's discretion.
																			3S		Ošlejšek			2017	stavovy diagram - jednotlivy komponenty ukazany naprikadech. Ptal se hodne,kdy se prechazi se stavu do stavu, na udalosti, akce apod. Potom na determinismus, jak se projevuje, a dedicnost (podstavy - doatani se z libovolneho podstavu mimo rodicovsky stav). aktivity diagram - mluvil jsem dostatecne sam	state diagram - individual components shown in examples. He asked a lot about when to move from one state to another, about events, actions, etc. Then about determinism, how it manifests itself, and inheritance (bases - getting from any base outside the parent state). activity diagram - I spoke enough myself
